postcode,postcode_space,postcode area,Average_download_speed_Mbit_s,Maximum_download_speed_Mbit_s,Minimum_download_speed_Mbit_s,Average_upload_speed_Mbit_s,Maximum_upload_speed_Mbit_s,Minimum_upload_speed_Mbit_s,Average_data_usage_GB,All Premises,All Matched Premises,lsoa_area,county
BS162DG,BS16 2DG,BS,4.097672352314776,5.303304908059076,2.4069451083182885,1.547562508716013,2.5649493574615367,0.6418538861723947,5.820082930352362,2.3978952727983707,2.3978952727983707,Bristol 012A,"Bristol, City of"
BS162DH,BS16 2DH,BS,4.216562194946349,5.303304908059076,1.9459101490553132,1.8870696490323797,3.044522437723423,0.47000362924573563,5.327876168789581,3.58351893845611,3.58351893845611,Bristol 019A,"Bristol, City of"
BS162DJ,BS16 2DJ,BS,4.0809215418899605,5.303304908059076,2.6461747973841225,1.9600947840472698,3.044522437723423,0.6418538861723947,4.394449154672439,2.6390573296152584,2.6390573296152584,Bristol 019A,"Bristol, City of"
BS162DL,BS16 2DL,BS,3.484312288372662,4.675628649636653,2.4765384001174837,1.1631508098056809,1.9459101490553132,0.47000362924573563,5.605802066295998,2.772588722239781,2.772588722239781,Bristol 012A,"Bristol, City of"
BS162DN,BS16 2DN,BS,4.499809670330265,5.303304908059076,2.517696472610991,1.8870696490323797,2.5649493574615367,0.6931471805599453,4.290459441148391,2.5649493574615367,2.5649493574615367,Bristol 012A,"Bristol, City of"
BS162DQ,BS16 2DQ,BS,4.005513348515485,5.017279836814924,2.72785282839839,1.8870696490323797,3.044522437723423,0.5306282510621704,5.049856007249537,2.302585092994046,2.302585092994046,Bristol 012A,"Bristol, City of"
BS162DS,BS16 2DS,BS,4.310799125385514,5.303304908059076,3.0633909220278057,1.6863989535702288,2.5649493574615367,0.7419373447293773,5.545177444479562,3.1354942159291497,3.1354942159291497,Bristol 013A,"Bristol, City of"
BS162DT,BS16 2DT,BS,3.044522437723423,3.131136910560194,2.72785282839839,0.7884573603642703,0.8329091229351039,0.5877866649021191,6.602587892189336,2.1972245773362196,2.1972245773362196,Bristol 013A,"Bristol, City of"
BS162DU,BS16 2DU,BS,4.404277243608702,5.303304908059076,2.772588722239781,1.791759469228055,2.5649493574615367,0.5877866649021191,5.214935757608986,2.70805020110221,2.70805020110221,Bristol 013A,"Bristol, City of"
BS162DY,BS16 2DY,BS,3.754198920234579,4.61512051684126,1.62924053973028,1.252762968495368,1.9459101490553132,0.5877866649021191,5.204006687076795,2.5649493574615367,2.5649493574615367,Bristol 013A,"Bristol, City of"
BS162EA,BS16 2EA,BS,3.3603753871419,4.61512051684126,2.33214389523559,1.0296194171811581,1.9459101490553132,0.3364722366212129,4.007333185232471,2.4849066497880004,2.4849066497880004,Bristol 012A,"Bristol, City of"
