postcode,postcode_space,postcode area,Average_download_speed_Mbit_s,Maximum_download_speed_Mbit_s,Minimum_download_speed_Mbit_s,Average_upload_speed_Mbit_s,Maximum_upload_speed_Mbit_s,Minimum_upload_speed_Mbit_s,Average_data_usage_GB,All Premises,All Matched Premises,lsoa_area,county
PL267EE,PL26 7EE,PL,3.332204510175204,3.713572066704308,1.667706820558076,1.9600947840472698,2.3978952727983707,0.3364722366212129,6.476972362889683,2.833213344056216,2.833213344056216,Cornwall 030C,Cornwall
PL267EF,PL26 7EF,PL,3.5115454388310208,3.713572066704308,2.379546134130174,2.163323025660538,2.3978952727983707,0.5877866649021191,6.559615237493242,1.9459101490553132,1.9459101490553132,Cornwall 030C,Cornwall
PL267EG,PL26 7EG,PL,3.481240089335692,4.382026634673881,1.916922612182061,2.1162555148025524,3.044522437723423,0.5306282510621704,6.1224928095143865,3.4011973816621555,3.4011973816621555,Cornwall 030C,Cornwall
PL267EH,PL26 7EH,PL,2.760009940032921,3.1135153092103742,0.4054651081081644,0.6931471805599453,0.9932517730102834,0.1823215567939546,4.04305126783455,1.9459101490553132,1.9459101490553132,Cornwall 030C,Cornwall
PL267EJ,PL26 7EJ,PL,3.9627161197436642,4.394449154672439,3.708682081410116,2.5877640352277083,3.044522437723423,1.0986122886681098,5.988961416889864,1.791759469228055,1.791759469228055,Cornwall 041F,Cornwall
PL267EP,PL26 7EP,PL,3.879499813722586,4.393213824064446,0.8754687373538999,2.5416019934645457,3.044522437723423,0.5877866649021191,4.727387818712341,2.3978952727983707,2.3978952727983707,Cornwall 041F,Cornwall
PL267ER,PL26 7ER,PL,3.756538102587751,4.393213824064446,1.252762968495368,2.4336133554004498,3.044522437723423,0.4054651081081644,4.74493212836325,3.6375861597263857,3.6375861597263857,Cornwall 041F,Cornwall
PL267ES,PL26 7ES,PL,3.975936331171799,4.356708826689592,3.708682081410116,2.631888840136646,2.975529566236472,2.3978952727983707,6.073044534100405,1.9459101490553132,1.9459101490553132,Cornwall 041F,Cornwall
PL267ET,PL26 7ET,PL,3.8815637979434374,5.0795392727434665,0.5877866649021191,2.5494451709255714,3.152736022363656,0.3364722366212129,5.247024072160486,3.4339872044851463,3.4339872044851463,Cornwall 041F,Cornwall
PL267EU,PL26 7EU,PL,3.9815490680767565,4.356708826689592,1.589235205116581,2.6100697927420065,3.044522437723423,0.5877866649021191,5.605802066295998,3.2188758248682006,3.2188758248682006,Cornwall 041F,Cornwall
